Site,Plot,Row,Column,Species,C_E_or_T,Rep,Germinate,Done,Notes
1,A,1,1,TROR,E,1,8,Y,
1,A,1,2,PLDE,E,1,2,,
1,A,1,3,LARO,C,2,4,,Swap
1,A,1,4,VERO,E,3,7,Y,
1,A,1,7,PEAI,C,1,6,,
1,A,1,8,PEAI,T,2,10,,
1,A,1,9,PEAI,E,1,1,Y,
1,A,2,1,ARCA,E,3,6,,Swap
1,A,2,2,PLDE,E,2,1,,
1,A,2,3,LARO,E,3,7,Y,Swap
1,A,2,4,PLDE,C,1,1,Y,
1,A,2,5,VERO,E,1,2,,Swap
1,A,2,6,HYGL,C,3,1,,
1,A,2,7,TRCY,E,2,10,,
1,A,2,8,ARCA,C,1,1,Y,
1,A,2,9,PEAI,E,3,9,,
1,A,3,1,TROR,C,3,1,Y,
1,A,3,2,VERO,T,2,7,,
1,A,3,6,TROR,T,2,5,Y,
1,A,3,7,TRCY,C,2,8,,Swap
1,A,3,9,TROR,C,2,7,,Swap
1,A,4,2,PLDE,C,3,5,,
1,A,4,5,TRCY,C,3,9,,
1,A,4,6,VERO,C,2,2,,Swap
1,A,4,7,LARO,C,3,6,,
1,A,4,8,VERO,C,1,1,,
1,A,4,9,PLDE,T,2,*,,Actually a VERO
1,A,5,1,VERO,E,2,1,,
1,A,5,2,TRCY,E,1,9,Y,
1,A,5,9,LARO,E,2,4,,Swap
1,A,6,1,ARCA,C,2,4,,
1,A,6,2,HYGL,E,1,2,,
1,A,6,8,ARCA,T,2,1,,
1,A,6,9,VERO,C,3,1,,
1,A,7,8,ARCA,E,1,5,,
1,A,7,9,ARCA,T,1,2,Y,Swap
1,A,8,1,PLDE,E,3,2,,
1,A,8,2,PEAI,E,2,7,,
1,A,8,3,ARCA,C,3,2,,
1,A,8,4,ARCA,E,2,8,,Check flower
1,A,8,6,LARO,E,1,1,,
1,A,8,7,PEAI,C,3,1,,
1,A,8,9,TROR,C,1,5,,Swap
1,A,9,1,PLDE,C,2,5,,Swap
1,A,9,3,LARO,C,1,2,,
1,A,9,7,LARO,T,2,2,Y,Swap
1,A,9,8,TROR,E,3,1,Y,
1,A,9,9,TRCY,C,1,14,,Swap
1,A,10,1,LARO,C,2,4,Y,Swap
1,A,10,3,VERO,T,1,2,,
1,A,10,4,TROR,E,2,7,,Swap
1,A,10,6,TRCY,E,3,10,Y,"Swap. Almost dead, collect soon"
1,B,1,1,PLDE,T,2,1,,
1,B,1,4,TROR,C,1,9,Y,
1,B,1,7,TROR,T,1,1,Y,
1,B,1,8,ARCA,C,2,2,,
1,B,1,9,HYGL,C,1,1,,
1,B,2,2,ARCA,T,1,4,,
1,B,2,3,PLDE,E,2,3,,
1,B,2,4,TRCY,C,3,11,,
1,B,2,5,POLE,E,2,2?,,Probably not my seed
1,B,2,7,HYGL,E,1,2,,
1,B,2,8,TROR,C,3,10,Y,
1,B,2,9,ARCA,E,1,7,,
1,B,3,3,PLDE,C,3,8,,Swap
1,B,3,4,PEAI,E,1,7,,
1,B,3,5,LARO,C,3,6,,
1,B,3,6,PEAI,C,3,2,,Swap
1,B,3,7,LARO,E,3,4,,
1,B,3,8,TRCY,C,2,8,,
1,B,4,1,TROR,T,2,6,Y,
1,B,4,2,HYGL,C,3,2,,
1,B,4,3,TRCY,E,2,5,Y,
1,B,4,4,ARCA,C,3,1,,
1,B,4,5,TROR,E,3,1,,
1,B,4,6,PEAI,C,1,4,,
1,B,4,7,LARO,C,1,4,,
1,B,4,8,VERO,E,1,1,,
1,B,4,9,PLDE,C,1,9,,
1,B,5,1,TROR,E,1,1,Y,
1,B,5,2,PLDE,T,1,8,,
1,B,5,8,VERO,E,2,3,,
1,B,5,9,LARO,E,2,8,,
1,B,6,8,LARO,T,1,4,,
1,B,7,1,TROR,C,2,3,Y,
1,B,7,2,TRCY,C,1,10,,
1,B,7,8,POLE,C,3,2,,Swap
1,B,8,1,VERO,C,3,5,,
1,B,8,2,ARCA,C,1,6,,Swap
1,B,8,3,LARO,C,2,7,,
1,B,8,4,TRCY,E,1,14,Y,
1,B,8,7,ARCA,E,3,1,,
1,B,8,8,ARCA,E,2,7,,
1,B,8,9,POLE,E,3,2,,Swap
1,B,9,2,TRCY,E,3,11,Y,
1,B,9,3,LARO,T,2,4,,
1,B,9,4,PLDE,E,1,1,,Swap
1,B,9,6,VERO,C,2,1,,
1,B,9,7,PLDE,C,2,4,,
1,B,9,8,PEAI,E,2,5,,
1,B,9,9,PLDE,E,3,5,,
1,B,10,1,TROR,E,2,6,Y,
1,B,10,3,TRCY,T,1,11,,
1,B,10,4,PEAI,E,3,3,,
1,B,10,6,LARO,E,1,9,Y,
1,B,10,9,VERO,C,1,1,,
1,C,1,1,PLDE,C,1,10,,
1,C,1,2,VERO,C,2,10,,Swap
1,C,1,3,PLDE,T,1,7,,
1,C,1,4,LARO,T,2,5,,
1,C,1,8,LARO,E,1,2,,
1,C,2,1,VERO,E,2,6,,Swap
1,C,2,2,PEAI,C,3,5,,
1,C,2,3,ARCA,E,3,2,,"Missed a flower head, one seed collected from it"
1,C,2,4,POLE,E,1,1,,
1,C,2,5,TROR,C,3,7,,Swap
1,C,2,7,TROR,E,2,3,Y,
1,C,2,9,TROR,E,3,4,Y,
1,C,3,2,PEAI,C,1,1,,
1,C,3,3,TRCY,C,2,8,,
1,C,3,4,HYGL,C,3,2,Y,Swap
1,C,3,5,TROR,C,2,4,,Swap
1,C,3,6,LARO,C,2,1,Y,
1,C,3,7,PEAI,E,2,1,,
1,C,3,8,PLDE,E,2,5,,
1,C,4,1,PLDE,E,3,3,,
1,C,4,2,PLDE,C,2,11,,
1,C,4,4,TRCY,C,3,8,,Swap
1,C,4,5,TROR,E,1,3,Y,Swap
1,C,4,6,TRCY,E,1,8,Y,
1,C,4,7,TRCY,C,1,3,,
1,C,4,8,VERO,E,3,1,,Probably not my seed
1,C,4,9,LARO,C,3,3,,
1,C,5,8,ARCA,E,2,1,,Swap
1,C,5,9,HYGL,E,3,4,Y,
1,C,6,1,ARCA,T,2,1,,
1,C,6,2,VERO,C,3,1,,
1,C,6,8,LARO,C,1,1,,
1,C,6,9,TROR,T,2,2,Y,Swap
1,C,8,1,PLDE,E,1,1,Y,
1,C,8,2,ARCA,E,1,2,Y,
1,C,8,3,LARO,E,2,2,Y,
1,C,8,4,PEAI,E,1,5,,Swap
1,C,8,6,PLDE,C,3,3,,
1,C,8,8,TRCY,E,2,1,Y,Swap
1,C,8,9,ARCA,T,1,1,Y,
1,C,9,1,LARO,E,3,4,,Swap
1,C,9,2,ARCA,C,1,3,,
1,C,9,3,TROR,C,1,6,Y,Swap
1,C,9,4,ARCA,C,2,2,Y,Swap
1,C,9,8,VERO,E,1,1,,Swap
1,C,9,9,HYGL,C,2,7,,
1,C,10,2,PEAI,C,2,3,,
1,C,10,3,VERO,C,1,5,,
1,C,10,4,TRCY,E,3,12,,
2,A,1,1,LARO,T,1,5,,
2,A,1,2,TROR,E,2,1,Y,
2,A,1,3,ARCA,C,1,9,,
2,A,1,4,LARO,T,2,6,,
2,A,1,5,VERO,E,3,8,,Swap
2,A,1,7,POLE,C,1,2,,
2,A,1,8,ARCA,C,2,4,Y,
2,A,1,9,HYGL,C,3,5,,
2,A,2,1,HYGL,E,1,5,,
2,A,2,2,HYGL,E,3,5,Y,
2,A,2,3,TROR,T,2,5,,
2,A,2,5,TROR,E,3,5,Y,
2,A,2,7,TROR,C,2,7,,Swap
2,A,2,8,PEAI,T,1,3,,
2,A,3,1,PLDE,C,1,4,Y,
2,A,3,2,LARO,E,1,4,Y,
2,A,3,3,TRCY,E,2,4,,
2,A,3,4,PEAI,C,3,8,,
2,A,3,5,TRCY,T,2,14,,
2,A,3,6,LARO,C,3,7,,
2,A,3,7,LARO,E,2,8,,
2,A,3,8,PEAI,E,3,4,,
2,A,3,9,TROR,C,3,3,,
2,A,4,1,PLDE,E,3,9,,Swap
2,A,4,3,ARCA,E,1,7,,
2,A,4,4,TROR,C,1,1,Y,
2,A,4,6,TRCY,E,3,9,,Swap
2,A,4,7,PEAI,E,1,2,Y,
2,A,4,8,ARCA,C,3,2,Y,
2,A,4,9,HYGL,C,2,3,,
2,A,5,1,HYGL,E,2,3,,
2,A,5,2,ARCA,E,2,4,,
2,A,5,8,PEAI,C,2,7,Y,
2,A,6,1,LARO,C,1,7,Y,
2,A,6,8,LARO,E,3,1,,
2,A,6,9,VERO,E,2,10,,
2,A,7,1,TRCY,E,1,2,,
2,A,7,2,ARCA,E,3,4,,
2,A,7,8,PLDE,E,1,10,,
2,A,7,9,VERO,C,2,7,,
2,A,8,2,VERO,E,1,10,,
2,A,8,3,ARCA,T,1,1,,
